student_id,avg_time_sec,score_avg,attempts
1,17.483570765056164,98.99355436586002,2
2,14.308678494144077,94.24633682912769,3
3,18.23844269050346,85.59630369920174,2
4,22.61514928204013,78.53063222294426,3
5,13.82923312638332,91.9822331361359,3
6,13.829315215254097,88.9348538542175,4
7,22.896064077536955,93.95193220027733,3
8,18.837173645764544,91.35171801681969,2
9,12.652628070325239,95.49552715319335,4
10,17.712800217929825,79.64764788439432,1
11,12.682911535937688,98.17394065634326,1
12,12.671351232148716,86.975996046924,4
13,16.20981135783017,100.0,2
14,5.43359877671101,78.10812181910433,1
15,6.375410837434837,100.0,1
16,12.188562353795136,86.97910783462648,3
17,9.93584439832788,78.48581996385552,3
18,16.571236662976368,80.16114165945679,2
19,10.459879622393945,81.7965269180568,4
20,7.938481493323542,89.24165946401916,2
21,22.32824384460777,90.228354880355,4
22,13.871118497567322,79.26299996061421,1
23,15.33764102343962,84.75645407739017,3
24,7.8762590689327165,100.0,2
25,12.278086377374088,100.0,2
26,15.55461294854933,89.36323669674032,4
27,9.245032112888486,85.380034781682,4
28,16.87849009172836,86.20031326718261,2
29,11.996806550405974,91.13517972730416,4
30,13.541531251033616,74.77207434801595,2
31,11.991466938853016,82.42623462576655,2
32,24.261390922544688,68.3141592612241,2
33,14.932513876310331,88.9922312260528,1
34,9.711445355220498,91.4719593970274,4
35,19.112724560515943,80.16813537700627,3
36,8.895781750144888,100.0,3
37,16.044317975023777,72.7423433699766,4
38,5.201649380601122,70.3562511979018,2
39,8.359069755507846,87.24451818559972,3
40,15.984306179345618,95.47098302612154,3
41,18.692332899977053,100.0,4
42,15.856841405949853,80.4111573713106,3
43,14.421758588058797,95.78680833431295,2
44,13.494481522053556,84.61491530499293,4
45,7.607390048162863,83.2737270005918,2
46,11.400778958026457,93.83659937486672,3
47,12.696806145201062,91.52322878413419,3
48,20.285611131094576,69.2360784301575,2
49,16.71809144784231,99.76540349725896,1
50,6.18479922318633,98.80091354147451,3
51,16.620419846973974,78.7443729849047,1
52,13.074588597918417,88.95803533437409,3
53,11.615389998470206,89.94030186282738,1
54,18.05838144420434,87.60673765823907,1
55,20.154997612479754,79.4969484615458,1
56,19.656400595580994,78.28376632061949,2
57,10.803912383886807,84.74445929008554,1
58,13.453938120743928,96.72729019259364,1
59,16.65631715701782,90.43600154594432,1
60,19.877725635611796,81.29385667913894,3
61,12.60412881077355,92.71698710648344,1
62,14.071705116680914,56.51457379369924,3
63,9.468325129969859,96.48765700372104,1
64,9.018966879596647,67.60286221221901,1
65,19.062629111970992,81.37559058596868,2
66,21.781200142854114,73.80330105373856,3
67,14.63994939209833,72.05318524279095,1
68,20.01766448946012,96.6082678737852,3
69,16.80818012523817,80.32298798688109,3
70,11.774401226974378,88.46503881730716,4
71,16.80697802754207,84.53079421120816,2
72,22.690182832329846,89.77040827223121,2
73,14.820869804450242,85.76821891060256,2
74,22.82321827907003,72.1700777581143,4
75,5.0,94.9626681944714,4
