user_id,profile_type,q_index,level,concept,correct,time,attempt,timestamp
b12807b8,Persévérant,0,1,Affichage,1,31.3,1,2025-11-20T12:01:14.042524
b12807b8,Persévérant,1,1,Variables,0,10.1,1,2025-11-20T12:01:49.042591
b12807b8,Persévérant,2,1,Listes,0,14.4,1,2025-11-20T12:02:24.042623
b12807b8,Persévérant,3,1,Conditions,0,13.5,2,2025-11-20T12:02:59.042648
b12807b8,Persévérant,4,1,Boucles,0,8.0,2,2025-11-20T12:03:34.042675
b12807b8,Persévérant,5,1,Fonctions,0,106.3,1,2025-11-20T12:04:09.042699
b12807b8,Persévérant,6,1,Dictionnaires,1,18.0,1,2025-11-20T12:04:44.042721
b12807b8,Persévérant,7,1,POO,0,25.4,2,2025-11-20T12:05:19.042745
b12807b8,Persévérant,8,1,Algorithmes,1,38.5,1,2025-11-20T12:05:54.042766
b12807b8,Persévérant,9,1,Erreurs,1,76.5,1,2025-11-20T12:06:29.042788
b12807b8,Persévérant,10,2,Affichage,1,169.0,1,2025-11-20T12:07:04.042808
b12807b8,Persévérant,11,2,Variables,0,8.0,1,2025-11-20T12:07:39.042832
b12807b8,Persévérant,12,2,Listes,1,55.2,1,2025-11-20T12:08:14.042853
b12807b8,Persévérant,13,2,Conditions,1,60.6,1,2025-11-20T12:08:49.042874
b12807b8,Persévérant,14,2,Boucles,1,24.0,1,2025-11-20T12:09:24.042898
b12807b8,Persévérant,15,2,Fonctions,0,13.1,1,2025-11-20T12:09:59.042921
b12807b8,Persévérant,16,2,Dictionnaires,0,49.3,2,2025-11-20T12:10:34.042943
b12807b8,Persévérant,17,2,POO,0,12.6,3,2025-11-20T12:11:09.042966
b12807b8,Persévérant,18,2,Algorithmes,1,18.7,1,2025-11-20T12:11:44.042986
b12807b8,Persévérant,19,2,Erreurs,0,8.6,1,2025-11-20T12:12:19.043009
b12807b8,Persévérant,20,3,Affichage,1,23.1,1,2025-11-20T12:12:54.043029
b12807b8,Persévérant,21,3,Variables,0,12.7,2,2025-11-20T12:13:29.043052
b12807b8,Persévérant,22,3,Listes,0,8.0,2,2025-11-20T12:14:04.043074
b12807b8,Persévérant,23,3,Conditions,0,17.2,3,2025-11-20T12:14:39.043096
b12807b8,Persévérant,24,3,Boucles,0,19.3,2,2025-11-20T12:15:14.043119
b12807b8,Persévérant,25,3,Fonctions,0,41.4,1,2025-11-20T12:15:49.043142
b12807b8,Persévérant,26,3,Dictionnaires,0,8.0,2,2025-11-20T12:16:24.043165
b12807b8,Persévérant,27,3,POO,0,13.7,1,2025-11-20T12:16:59.043188
b12807b8,Persévérant,28,3,Algorithmes,0,36.0,1,2025-11-20T12:17:34.043211
b12807b8,Persévérant,29,3,Erreurs,0,8.0,1,2025-11-20T12:18:09.043233
b12807b8,Persévérant,30,4,Affichage,1,105.0,1,2025-11-20T12:18:44.043253
b12807b8,Persévérant,31,4,Variables,1,62.4,1,2025-11-20T12:19:19.043274
b12807b8,Persévérant,32,4,Listes,0,20.8,1,2025-11-20T12:19:54.043297
b12807b8,Persévérant,33,4,Conditions,0,10.2,2,2025-11-20T12:20:29.043320
b12807b8,Persévérant,34,4,Boucles,0,26.1,1,2025-11-20T12:21:04.043342
b12807b8,Persévérant,35,4,Fonctions,0,17.9,2,2025-11-20T12:21:39.043365
b12807b8,Persévérant,36,4,Dictionnaires,1,70.4,1,2025-11-20T12:22:14.043385
b12807b8,Persévérant,37,4,POO,0,63.2,2,2025-11-20T12:22:49.043408
b12807b8,Persévérant,38,4,Algorithmes,0,11.3,1,2025-11-20T12:23:24.043430
b12807b8,Persévérant,39,4,Erreurs,1,8.0,1,2025-11-20T12:23:59.043449
b12807b8,Persévérant,40,5,Affichage,0,88.3,2,2025-11-20T12:24:34.043472
b12807b8,Persévérant,41,5,Variables,0,51.6,2,2025-11-20T12:25:09.043495
b12807b8,Persévérant,42,5,Listes,1,25.7,1,2025-11-20T12:25:44.043512
b12807b8,Persévérant,43,5,Conditions,0,11.6,1,2025-11-20T12:26:19.043533
b12807b8,Persévérant,44,5,Boucles,0,30.1,2,2025-11-20T12:26:54.043554
b12807b8,Persévérant,45,5,Fonctions,0,26.7,1,2025-11-20T12:27:29.043575
